Ticker,Quandl_Code,Name,Exchange,Last Trade Date
A,EOD/A,Agilent Technologies Inc.,NYSE,28-10-2020
AA,EOD/AA,Alcoa Corporation,NYSE,28-10-2020
AAA,EOD/AAA,LISTED FUND TRUST,NYSE Arca,28-10-2020
AAAU,EOD/AAAU,Perth Mint Physical Gold ETF Shares,NYSE Arca,28-10-2020
AACG,EOD/AACG,ATA Creativity Global,NASDAQ,28-10-2020
AACQ,EOD/AACQ,Artius Acquisition Inc.,NASDAQ,28-10-2020
AACQU,EOD/AACQU,Artius Acquisition Inc. Unit consisting of one ordinary share and one third redeemable warrant,NASDAQ,28-10-2020
AACQW,EOD/AACQW,Artius Acquisition Inc. Warrant,NASDAQ,28-10-2020
AADR,EOD/AADR,ADVISORSHARES TRUS,NYSE Arca,28-10-2020
AAIC,EOD/AAIC,Arlington Asset Investment Corp Class A (new),NYSE,28-10-2020
AAIC.P.B,EOD/AAIC_P_B,Arlington Asset Investment Corp 7.00%,NYSE,28-10-2020
AAIC.P.C,EOD/AAIC_P_C,Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,NYSE,28-10-2020
AAL,EOD/AAL,American Airlines Group Inc.,NASDAQ,28-10-2020
AAMC,EOD/AAMC,Altisource Asset Management Corp Com,NYSE MKT,28-10-2020
AAME,EOD/AAME,Atlantic American Corporation,NASDAQ,28-10-2020
AAN,EOD/AAN,Aarons Holdings Company Inc.,NYSE,28-10-2020
AAOI,EOD/AAOI,Applied Optoelectronics Inc.,NASDAQ,28-10-2020
AAON,EOD/AAON,AAON Inc.,NASDAQ,28-10-2020
AAP,EOD/AAP,Advance Auto Parts Inc W/I,NYSE,28-10-2020
AAPL,EOD/AAPL,Apple Inc.,NASDAQ,28-10-2020
AAT,EOD/AAT,American Assets Trust Inc.,NYSE,28-10-2020
AAU,EOD/AAU,Almaden Minerals Ltd.,NYSE MKT,28-10-2020
AAWW,EOD/AAWW,Atlas Air Worldwide Holdings,NASDAQ,28-10-2020
AAXJ,EOD/AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,NASDAQ,28-10-2020
AAXN,EOD/AAXN,Axon Enterprise Inc.,NASDAQ,28-10-2020
AB,EOD/AB,AllianceBernstein Holding L.P. Units,NYSE,28-10-2020
ABB,EOD/ABB,ABB Ltd,NYSE,28-10-2020
ABBV,EOD/ABBV,AbbVie Inc.,NYSE,28-10-2020
ABC,EOD/ABC,AmerisourceBergen Corporation,NYSE,28-10-2020
ABCB,EOD/ABCB,Ameris Bancorp,NASDAQ,28-10-2020
ABCM,EOD/ABCM,Abcam plc,NASDAQ,28-10-2020
ABEO,EOD/ABEO,Abeona Therapeutics Inc.,NASDAQ,28-10-2020
ABEQ,EOD/ABEQ,Absolute Core Strategy ETF,NYSE Arca,28-10-2020
ABEV,EOD/ABEV,Ambev S.A. American Depositary Shares (Each representing 1),NYSE,28-10-2020
ABG,EOD/ABG,Asbury Automotive Group Inc,NYSE,28-10-2020
ABIO,EOD/ABIO,ARCA biopharma Inc.,NASDAQ,28-10-2020
ABM,EOD/ABM,ABM Industries Incorporated,NYSE,28-10-2020
ABMD,EOD/ABMD,ABIOMED Inc.,NASDAQ,28-10-2020
ABR,EOD/ABR,Arbor Realty Trust,NYSE,28-10-2020
ABR.P.A,EOD/ABR_P_A,Arbor Realty Trust Preferred Series A,NYSE,28-10-2020
ABR.P.B,EOD/ABR_P_B,Arbor Realty Trust Cumulative Redeemable Preferred Series B,NYSE,28-10-2020
ABR.P.C,EOD/ABR_P_C,Arbor Realty Trust Cumulative Redeemable Preferred Series C,NYSE,28-10-2020
ABST,EOD/ABST,Absolute Software Corporation,NASDAQ,28-10-2020
ABT,EOD/ABT,Abbott Laboratories,NYSE,28-10-2020
ABTX,EOD/ABTX,Allegiance Bancshares Inc.,NASDAQ,28-10-2020
ABUS,EOD/ABUS,Arbutus Biopharma Corporation,NASDAQ,28-10-2020
AC,EOD/AC,Associated Capital Group Inc.,NYSE,28-10-2020
ACA,EOD/ACA,Arcosa Inc.,NYSE,28-10-2020
ACACU,EOD/ACACU,Acies Acquisition Corp. Unit,NASDAQ,28-10-2020
ACAD,EOD/ACAD,ACADIA Pharmaceuticals Inc.,NASDAQ,28-10-2020
ACAM,EOD/ACAM,Acamar Partners Acquisition Corp.,NASDAQ,28-10-2020
ACAMU,EOD/ACAMU,Acamar Partners Acquisition Corp. Units,NASDAQ,28-10-2020
ACAMW,EOD/ACAMW,Acamar Partners Acquisition Corp. Warrant,NASDAQ,28-10-2020
ACB,EOD/ACB,Aurora Cannabis Inc.,NYSE,28-10-2020
ACBI,EOD/ACBI,Atlantic Capital Bancshares Inc.,NASDAQ,28-10-2020
ACC,EOD/ACC,American Campus Communities Inc,NYSE,28-10-2020
ACCD,EOD/ACCD,Accolade Inc.,NASDAQ,28-10-2020
ACCO,EOD/ACCO,Acco Brands Corporation,NYSE,28-10-2020
ACEL,EOD/ACEL,Accel Entertainment Inc.,NYSE,28-10-2020
ACER,EOD/ACER,Acer Therapeutics Inc.,NASDAQ,28-10-2020
ACET,EOD/ACET,Adicet Bio Inc.,NASDAQ,28-10-2020
ACEV,EOD/ACEV,ACE Convergence Acquisition Corp.,NASDAQ,28-10-2020
ACEVU,EOD/ACEVU,ACE Convergence Acquisition Corp. Unit,NASDAQ,28-10-2020
ACEVW,EOD/ACEVW,ACE Convergence Acquisition Corp. Warrant,NASDAQ,28-10-2020
ACGL,EOD/ACGL,Arch Capital Group Ltd.,NASDAQ,28-10-2020
ACGLO,EOD/ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of5.45% Non-Cumulative Preferred Shares Series F,NASDAQ,28-10-2020
ACGLP,EOD/ACGLP,Arch Capital Group Ltd. Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs,NASDAQ,28-10-2020
ACH,EOD/ACH,Aluminum Corporation of China Limited American Depositary Shares,NYSE,28-10-2020
ACHC,EOD/ACHC,Acadia Healthcare Company Inc.,NASDAQ,28-10-2020
ACHV,EOD/ACHV,Achieve Life Sciences Inc.,NASDAQ,28-10-2020
ACI,EOD/ACI,Albertsons Companies Inc. Class A,NYSE,28-10-2020
ACIA,EOD/ACIA,Acacia Communications Inc.,NASDAQ,28-10-2020
ACIC.U,EOD/ACIC_U,Atlas Crest Investment Corp. Units each consisting of one Class A common stock and one-third of one redeemable warrant,NYSE,28-10-2020
ACIU,EOD/ACIU,AC Immune SA,NASDAQ,28-10-2020
ACIW,EOD/ACIW,ACI Worldwide Inc.,NASDAQ,28-10-2020
ACLS,EOD/ACLS,Axcelis Technologies Inc.,NASDAQ,28-10-2020
ACM,EOD/ACM,AECOM,NYSE,28-10-2020
ACMR,EOD/ACMR,ACM Research Inc.,NASDAQ,28-10-2020
ACN,EOD/ACN,Accenture plc Class A (Ireland),NYSE,28-10-2020
ACNB,EOD/ACNB,ACNB Corporation,NASDAQ,28-10-2020
ACND,EOD/ACND,Ascendant Digital Acquisition Corp. Class A,NYSE,28-10-2020
ACND.U,EOD/ACND_U,Ascendant Digital Acquisition Corp. Units each consisting of one Class A ordinary share and one-half of one redeemable warrant,NYSE,28-10-2020
ACND.WS,EOD/ACND_WS,Ascendant Digital Acquisition Corp. Warrants each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50 per share,NYSE,28-10-2020
ACOR,EOD/ACOR,Acorda Therapeutics Inc.,NASDAQ,28-10-2020
ACP,EOD/ACP,Aberdeen Income Credit Strategies Fund,NYSE,28-10-2020
ACRE,EOD/ACRE,Ares Commercial Real Estate Corporation,NYSE,28-10-2020
ACRS,EOD/ACRS,Aclaris Therapeutics Inc.,NASDAQ,28-10-2020
ACRX,EOD/ACRX,AcelRx Pharmaceuticals Inc.,NASDAQ,28-10-2020
ACSG,EOD/ACSG,DBX ETF TRUST,NYSE Arca,28-10-2020
ACST,EOD/ACST,Acasti Pharma Inc.,NASDAQ,28-10-2020
ACT,EOD/ACT,ADVISORSHARES TRUS,NASDAQ,28-10-2020
ACTCU,EOD/ACTCU,ArcLight Clean Transition Corp. Unit,NASDAQ,28-10-2020
ACTG,EOD/ACTG,Acacia Research Corporation,NASDAQ,28-10-2020
ACTV,EOD/ACTV,LeaderShares Activist Leaders,NYSE,28-10-2020
ACU,EOD/ACU,Acme United Corporation.,NYSE MKT,28-10-2020
ACV,EOD/ACV,AllianzGI Diversified Income & Convertible Fund of Beneficial Interest,NYSE,28-10-2020
ACWF,EOD/ACWF,ISHARES TRUST,NYSE Arca,28-10-2020
ACWI,EOD/ACWI,iShares MSCI ACWI Index Fund,NASDAQ,28-10-2020
ACWX,EOD/ACWX,iShares MSCI ACWI Ex US Index Fund,NASDAQ,28-10-2020
ACY,EOD/ACY,AeroCentury Corp.,NYSE MKT,28-10-2020
ADAP,EOD/ADAP,Adaptimmune Therapeutics plc,NASDAQ,28-10-2020
ADBE,EOD/ADBE,Adobe Inc.,NASDAQ,28-10-2020
ADC,EOD/ADC,Agree Realty Corporation,NYSE,28-10-2020
ADCT,EOD/ADCT,ADC Therapeutics SA,NYSE,28-10-2020
ADES,EOD/ADES,Advanced Emissions Solutions Inc.,NASDAQ,28-10-2020
ADI,EOD/ADI,Analog Devices Inc.,NASDAQ,28-10-2020
ADIL,EOD/ADIL,Adial Pharmaceuticals Inc,NASDAQ,28-10-2020
ADILW,EOD/ADILW,Adial Pharmaceuticals Inc Warrant,NASDAQ,28-10-2020
ADM,EOD/ADM,Archer-Daniels-Midland Company,NYSE,28-10-2020
ADMA,EOD/ADMA,ADMA Biologics Inc,NASDAQ,28-10-2020
ADMP,EOD/ADMP,Adamis Pharmaceuticals Corporation,NASDAQ,28-10-2020
ADMS,EOD/ADMS,Adamas Pharmaceuticals Inc.,NASDAQ,28-10-2020
ADNT,EOD/ADNT,Adient plc,NYSE,28-10-2020
ADP,EOD/ADP,Automatic Data Processing Inc.,NASDAQ,28-10-2020
ADPT,EOD/ADPT,Adaptive Biotechnologies Corporation,NASDAQ,28-10-2020
ADRE,EOD/ADRE,BLDRS Emerging Markets 50 ADR Index Fund,NASDAQ,28-10-2020
ADS,EOD/ADS,Alliance Data Systems Corporation,NYSE,28-10-2020
ADSK,EOD/ADSK,Autodesk Inc.,NASDAQ,28-10-2020
ADSW,EOD/ADSW,Advanced Disposal Services Inc.,NYSE,28-10-2020
ADT,EOD/ADT,ADT Inc.,NYSE,28-10-2020
ADTN,EOD/ADTN,ADTRAN Inc.,NASDAQ,28-10-2020
ADTX,EOD/ADTX,ADiTx Therapeutics Inc.,NASDAQ,28-10-2020
ADUS,EOD/ADUS,Addus HomeCare Corporation,NASDAQ,28-10-2020
ADVM,EOD/ADVM,Adverum Biotechnologies Inc.,NASDAQ,28-10-2020
ADX,EOD/ADX,Adams Diversified Equity Fund Inc.,NYSE,28-10-2020
ADXN,EOD/ADXN,Addex Therapeutics Ltd,NASDAQ,28-10-2020
ADXS,EOD/ADXS,Advaxis Inc.,NASDAQ,28-10-2020
AE,EOD/AE,Adams Resources & Energy Inc.,NYSE MKT,28-10-2020
AEB,EOD/AEB,AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands),NYSE,28-10-2020
AEE,EOD/AEE,Ameren Corporation,NYSE,28-10-2020
AEF,EOD/AEF,Aberdeen Emerging Markets Equity Income Fund Inc.,NYSE MKT,28-10-2020
AEFC,EOD/AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,NYSE,28-10-2020
AEG,EOD/AEG,AEGON N.V.,NYSE,28-10-2020
AEGN,EOD/AEGN,Aegion Corp,NASDAQ,28-10-2020
AEHL,EOD/AEHL,Antelope Enterprise Holdings Limited,NASDAQ,28-10-2020
AEHR,EOD/AEHR,Aehr Test Systems,NASDAQ,28-10-2020
AEIS,EOD/AEIS,Advanced Energy Industries Inc.,NASDAQ,28-10-2020
AEL,EOD/AEL,American Equity Investment Life Holding Company,NYSE,28-10-2020
AEL.P.A,EOD/AEL_P_A,American Equity Investment Life Holding Company Depositary Shares Series A,NYSE,28-10-2020
AEL.P.B,EOD/AEL_P_B,American Equity Investment Life Holding Company Depositary Shares Series B,NYSE,28-10-2020
AEM,EOD/AEM,Agnico Eagle Mines Limited,NYSE,28-10-2020
AEMD,EOD/AEMD,Aethlon Medical Inc.,NASDAQ,28-10-2020
AEO,EOD/AEO,American Eagle Outfitters Inc.,NYSE,28-10-2020
AEP,EOD/AEP,American Electric Power Company Inc.,NYSE,28-10-2020
AEP.P.B,EOD/AEP_P_B,American Electric Power Company Inc. Corporate Unit,NYSE,30-09-2020
AEP.P.C,EOD/AEP_P_C,American Electric Power Company Inc. Corporate Units,NYSE,30-09-2020
AEPPL,EOD/AEPPL,American Electric Power Company Inc. Corporate Unit,NYSE,28-10-2020
AEPPZ,EOD/AEPPZ,American Electric Power Company Inc. Corporate Unit,NASDAQ,28-10-2020
AER,EOD/AER,AerCap Holdings N.V.,NYSE,28-10-2020
AERI,EOD/AERI,Aerie Pharmaceuticals Inc.,NASDAQ,28-10-2020
AES,EOD/AES,The AES Corporation,NYSE,28-10-2020
AESE,EOD/AESE,"Allied Esports Entertainment Inc,",NASDAQ,28-10-2020
AEY,EOD/AEY,ADDvantage Technologies Group Inc.,NASDAQ,28-10-2020
AEYE,EOD/AEYE,AudioEye Inc.,NASDAQ,28-10-2020
AEZS,EOD/AEZS,Aeterna Zentaris Inc.,NASDAQ,28-10-2020
AFB,EOD/AFB,AllianceBernstein National Municipal Income Fund Inc,NYSE,28-10-2020
AFC,EOD/AFC,Allied Capital Corporation 6.875% Notes due April 15 2047,NYSE,28-10-2020
AFG,EOD/AFG,American Financial Group Inc.,NYSE,28-10-2020
AFGB,EOD/AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,NYSE,28-10-2020
AFGC,EOD/AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,NYSE,28-10-2020
AFGD,EOD/AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,NYSE,28-10-2020
AFGE,EOD/AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,NYSE,28-10-2020
AFGH,EOD/AFGH,American Financial Group Inc. 6% Subordinated Debentures due 2055,NYSE,28-10-2020
AFH,EOD/AFH,Atlas Financial Holdings Inc.,NASDAQ,01-09-2020
AFI,EOD/AFI,Armstrong Flooring Inc.,NYSE,28-10-2020
AFIB,EOD/AFIB,Acutus Medical Inc.,NASDAQ,28-10-2020
AFIN,EOD/AFIN,American Finance Trust Inc.,NASDAQ,28-10-2020
AFINP,EOD/AFINP,American Finance Trust Inc. 7.50% Series A Cumulative Redeemable Perpetual Preferred Stock,NASDAQ,28-10-2020
AFK,EOD/AFK,VANECK VECTORS ETF,NYSE Arca,28-10-2020
AFL,EOD/AFL,AFLAC Incorporated,NYSE,28-10-2020
AFLG,EOD/AFLG,First Trust Active Factor Large Cap ETF,NYSE Arca,28-10-2020
